Model,Scenario,instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
DQN Agent 1000e,1obstacles_7,sokoban-7-1_1obstacles_7,6.226787567138672,OK,7782,250,8870,250,5773,1,1111,1,288,,0,155
Previous RL,1obstacles_7,sokoban-7-1_1obstacles_7,3.475923538208008,OK,7134,314,7949,323,3034,1,524,1,233,,0,156
DQN Agent 400e,1obstacles_8,sokoban-7-1_1obstacles_8,53.05410575866699,OK,25613,306,29060,311,52556,1,3509,1,953,,0,168
DQN Agent 1000e,1obstacles_8,sokoban-7-1_1obstacles_8,2.7425971031188965,OK,3981,546,4434,553,2253,1,445,1,139,,0,160
Previous RL,1obstacles_8,sokoban-7-1_1obstacles_8,33.9640851020813,OK,17793,234,20149,237,33503,1,1535,1,573,,0,149
DQN Agent 400e,1obstacles_9,sokoban-7-1_1obstacles_9,19.14037537574768,OK,19933,134,22421,135,18663,1,2495,1,717,,0,145
DQN Agent 1000e,1obstacles_9,sokoban-7-1_1obstacles_9,0.9858448505401611,OK,916,262,1010,262,519,1,96,1,28,,0,174
Previous RL,1obstacles_9,sokoban-7-1_1obstacles_9,2.1586921215057373,OK,4820,102,5261,102,1716,1,272,1,124,,0,169
DQN Agent 400e,2obstacles_1,sokoban-7-1_2obstacles_1,31.855855703353882,OK,19739,306,22374,313,31364,1,2668,1,705,,0,171
DQN Agent 1000e,2obstacles_1,sokoban-7-1_2obstacles_1,16.629552602767944,OK,17539,454,19922,458,16147,1,2324,1,618,,0,151
Previous RL,2obstacles_1,sokoban-7-1_2obstacles_1,20.738642930984497,OK,15443,728,17466,749,20248,1,1390,1,520,,0,148
DQN Agent 400e,2obstacles_10,sokoban-7-1_2obstacles_10,48.958929777145386,OK,25976,412,29253,420,48460,1,3083,1,951,,0,170
DQN Agent 1000e,2obstacles_10,sokoban-7-1_2obstacles_10,30.311635971069336,OK,21924,296,24863,298,29776,1,2963,1,800,,0,186
Previous RL,2obstacles_10,sokoban-7-1_2obstacles_10,61.519444704055786,OK,21444,478,24426,498,61050,1,2131,1,919,,0,163
DQN Agent 400e,2obstacles_2,sokoban-7-1_2obstacles_2,2.1590707302093506,OK,5518,274,6066,277,1699,1,522,1,205,,0,155
DQN Agent 1000e,2obstacles_2,sokoban-7-1_2obstacles_2,5.28257155418396,OK,8192,202,9315,204,4833,1,1110,1,303,,0,145
Previous RL,2obstacles_2,sokoban-7-1_2obstacles_2,3.07047963142395,OK,5800,298,6507,303,2632,1,494,1,214,,0,152
DQN Agent 400e,2obstacles_3,sokoban-7-1_2obstacles_3,32.330857276916504,OK,31721,978,35683,996,31824,1,3614,1,1154,,0,163
DQN Agent 1000e,2obstacles_3,sokoban-7-1_2obstacles_3,92.32194495201111,OK,34375,248,39484,248,91820,1,5044,1,1357,,0,156
Previous RL,2obstacles_3,sokoban-7-1_2obstacles_3,28.524714469909668,OK,17345,196,19679,197,28034,1,1652,1,712,,0,159
DQN Agent 400e,2obstacles_4,sokoban-7-1_2obstacles_4,5.9995622634887695,OK,16492,198,18228,200,5534,1,1534,1,595,,0,159
DQN Agent 1000e,2obstacles_4,sokoban-7-1_2obstacles_4,0.9813306331634521,OK,1018,174,1123,174,559,1,108,1,32,,0,151
Previous RL,2obstacles_4,sokoban-7-1_2obstacles_4,5.713633060455322,OK,9304,216,10354,222,5284,1,696,1,266,,0,153
DQN Agent 400e,2obstacles_5,sokoban-7-1_2obstacles_5,1.0367231369018555,OK,1871,356,2018,365,617,1,122,1,73,,0,150
DQN Agent 1000e,2obstacles_5,sokoban-7-1_2obstacles_5,58.43454885482788,OK,26206,208,29750,208,57942,1,3542,1,969,,0,174
Previous RL,2obstacles_5,sokoban-7-1_2obstacles_5,0.9230520725250244,OK,681,244,773,256,503,1,65,1,26,,0,164
DQN Agent 400e,2obstacles_6,sokoban-7-1_2obstacles_6,26.156425714492798,OK,23784,360,26805,369,25679,1,2957,1,870,,0,149
DQN Agent 1000e,2obstacles_6,sokoban-7-1_2obstacles_6,38.71412754058838,OK,23756,452,26935,459,38242,1,3177,1,855,,0,144
Previous RL,2obstacles_6,sokoban-7-1_2obstacles_6,54.548261880874634,OK,21844,368,24900,376,54057,1,2146,1,867,,0,165
DQN Agent 400e,2obstacles_7,sokoban-7-1_2obstacles_7,70.28195357322693,OK,29867,384,33885,387,69795,1,3863,1,1082,,0,152
DQN Agent 1000e,2obstacles_7,sokoban-7-1_2obstacles_7,18.5828218460083,OK,16837,650,19042,655,18110,1,2201,1,600,,0,154
Previous RL,2obstacles_7,sokoban-7-1_2obstacles_7,17.360107421875,OK,14184,374,16042,386,16907,1,1288,1,543,,0,147
DQN Agent 400e,2obstacles_8,sokoban-7-1_2obstacles_8,48.482901096343994,OK,24059,506,27181,512,47993,1,3058,1,895,,0,149
DQN Agent 1000e,2obstacles_8,sokoban-7-1_2obstacles_8,2.245549201965332,OK,3629,190,4074,191,1799,1,440,1,127,,0,161
Previous RL,2obstacles_8,sokoban-7-1_2obstacles_8,11.01309084892273,OK,11868,158,13357,158,10541,1,1034,1,463,,0,169
DQN Agent 400e,2obstacles_9,sokoban-7-1_2obstacles_9,1.743260383605957,OK,5088,110,5604,110,1290,1,386,1,179,,0,164
DQN Agent 1000e,2obstacles_9,sokoban-7-1_2obstacles_9,5.8851282596588135,OK,7634,190,8679,190,5411,1,1055,1,291,,0,174
Previous RL,2obstacles_9,sokoban-7-1_2obstacles_9,7.416533708572388,OK,9835,110,11049,110,6988,1,860,1,384,,0,152
DQN Agent 400e,3obstacles_1,sokoban-7-1_3obstacles_1,18.18042492866516,OK,19910,364,22387,370,17686,1,2444,1,745,,0,164
DQN Agent 1000e,3obstacles_1,sokoban-7-1_3obstacles_1,45.71682834625244,OK,24605,428,27835,432,45209,1,3306,1,904,,0,155
Previous RL,3obstacles_1,sokoban-7-1_3obstacles_1,17.669150352478027,OK,14755,514,16656,526,17169,1,1348,1,632,,0,157
DQN Agent 400e,3obstacles_10,sokoban-7-1_3obstacles_10,67.31062006950378,OK,28503,634,32264,644,66791,1,3600,1,1048,,0,154
DQN Agent 1000e,3obstacles_10,sokoban-7-1_3obstacles_10,2.479334831237793,OK,3772,464,4187,465,2023,1,399,1,131,,0,151
